,id,LAT,long,height,coverage,FAR,roadwidth
,11,77.31349968,12.10834403,111111,40.00%,,
,13,77.14069772,12.03634321,50,40.00%,,
,14,77.28469935,11.90674174,50,40.00%,,
,15,77.06869691,11.9115418,50,40.00%,,
,15,76.76629348,11.86834131,50,40.00%,,
,13,76.70389278,11.70993952,50,40.00%,,
,15,76.65589223,11.72433968,50,40.00%,,
,17,76.69429267,11.79154044,50,40.00%,,
,21,76.6174918,11.8059406,50,40.00%,,
,22,77.44310115,12.05554343,50,40.00%,,
,23,77.51510196,12.05074337,50,40.00%,,
,24,77.12314561,12.20123438,50,40.00%,,
,27,77.46804355,11.92594196,50,40.00%,,
,28,77.33749995,12.01714299,50,40.00%,,
,100,75.55075221,13.52599947,50,40.00%,,
,101,75.97106543,13.551473,50,40.00%,,
,102,75.3466932,13.17619835,50,40.00%,,
,104,75.67811985,13.3731583,50,40.00%,,
,105,75.32149045,13.36042154,50,40.00%,,
,105,75.7278559,13.175858,50,40.00%,,
,106,75.7672772,13.551473,50,40.00%,,
,107,76.1479985,13.7244521,50,40.00%,,
,109,75.8937721,13.80072,50,40.00%,,
,200,75.57087688,13.66151755,50,40.00%,,
,202,76.00602828,13.67618558,50,40.00%,,
,202,75.95713486,13.35104436,50,40.00%,,
,204,77.45694039,12.94584018,50,40.00%,,
,205,77.45203566,12.84075246,50,40.00%,,
,206,77.63295669,12.85538736,50,40.00%,,
,207,77.49361045,12.8602767,50,40.00%,,
,208,77.4308579,13.0114798,50,40.00%,,
,209,77.57055578,13.04981437,50,40.00%,,
,210,77.4979407,13.1370398,50,40.00%,,
,211,77.57428459,13.1194118,50,40.00%,,
,212,77.66756362,13.12727943,50,40.00%,,
,218,77.69162879,13.03384833,50,40.00%,,
,215,77.7585459,12.9510683,50,40.00%,,
,216,77.70140747,12.88472341,50,40.00%,,
,,,,,,,
,220,77.58895262,12.96539754,50,40.00%,,
,51,77.52953333,13.01371461,50,40.00%,,
,52,77.56939525,12.95561886,50,40.00%,,
,53,77.65697641,12.92784095,50,40.00%,,
,54,77.65495873,12.9605082,50,40.00%,,
,61,76.61597364,12.34017299,50,40.00%,,
,62,76.65936655,12.33467248,50,40.00%,,
,63,76.63553101,12.32306029,50,40.00%,,
,64,76.6110843,12.31633745,50,40.00%,,
,65,76.62452999,12.29555775,50,40.00%,,
,66,76.68748026,12.30716993,50,40.00%,,
,67,76.67036757,12.28822373,50,40.00%,,
,68,76.64286502,12.27355571,50,40.00%,,
,71,76.30611162,12.22237041,50,40.00%,,
,72,76.3235299,12.21992574,50,40.00%,,
,73,76.31680705,12.21656432,50,40.00%,,
,74,76.32933599,12.2321491,50,40.00%,,
,75,76.32872482,12.21411965,50,40.00%,,
,76,76.29938877,12.22573184,50,40.00%,,
,77,76.3253634,12.2037298,50,40.00%,,
